,slot
0,O
1,I-transport_type
2,I-toloc.state_name
3,I-toloc.city_name
4,I-toloc.airport_name
5,I-today_relative
6,I-time
7,I-stoploc.city_name
8,I-state_name
9,I-round_trip
10,I-return_date.today_relative
11,I-return_date.day_number
12,I-return_date.date_relative
13,I-restriction_code
14,I-meal_description
15,I-meal_code
16,I-fromloc.state_name
17,I-fromloc.city_name
18,I-fromloc.airport_name
19,I-flight_time
20,I-flight_stop
21,I-flight_number
22,I-flight_mod
23,I-fare_basis_code
24,I-fare_amount
25,I-economy
26,I-depart_time.time_relative
27,I-depart_time.time
28,I-depart_time.start_time
29,I-depart_time.period_of_day
30,I-depart_time.end_time
31,I-depart_date.today_relative
32,I-depart_date.day_number
33,I-cost_relative
34,I-class_type
35,I-city_name
36,I-arrive_time.time_relative
37,I-arrive_time.time
38,I-arrive_time.start_time
39,I-arrive_time.period_of_day
40,I-arrive_time.end_time
41,I-arrive_date.day_number
42,I-airport_name
43,I-airline_name
44,B-transport_type
45,B-toloc.state_name
46,B-toloc.state_code
47,B-toloc.country_name
48,B-toloc.city_name
49,B-toloc.airport_name
50,B-toloc.airport_code
51,B-today_relative
52,B-time_relative
53,B-time
54,B-stoploc.state_code
55,B-stoploc.city_name
56,B-stoploc.airport_name
57,B-stoploc.airport_code
58,B-state_name
59,B-state_code
60,B-round_trip
61,B-return_time.period_of_day
62,B-return_time.period_mod
63,B-return_date.today_relative
64,B-return_date.month_name
65,B-return_date.day_number
66,B-return_date.day_name
67,B-return_date.date_relative
68,B-restriction_code
69,B-period_of_day
70,B-or
71,B-month_name
72,B-mod
73,B-meal_description
74,B-meal_code
75,B-meal
76,B-fromloc.state_name
77,B-fromloc.state_code
78,B-fromloc.city_name
79,B-fromloc.airport_name
80,B-fromloc.airport_code
81,B-flight_time
82,B-flight_stop
83,B-flight_number
84,B-flight_mod
85,B-flight_days
86,B-flight
87,B-fare_basis_code
88,B-fare_amount
89,B-economy
90,B-depart_time.time_relative
91,B-depart_time.time
92,B-depart_time.start_time
93,B-depart_time.period_of_day
94,B-depart_time.period_mod
95,B-depart_time.end_time
96,B-depart_date.year
97,B-depart_date.today_relative
98,B-depart_date.month_name
99,B-depart_date.day_number
100,B-depart_date.day_name
101,B-depart_date.date_relative
102,B-days_code
103,B-day_number
104,B-day_name
105,B-cost_relative
106,B-connect
107,B-compartment
108,B-class_type
109,B-city_name
110,B-booking_class
111,B-arrive_time.time_relative
112,B-arrive_time.time
113,B-arrive_time.start_time
114,B-arrive_time.period_of_day
115,B-arrive_time.period_mod
116,B-arrive_time.end_time
117,B-arrive_date.today_relative
118,B-arrive_date.month_name
119,B-arrive_date.day_number
120,B-arrive_date.day_name
121,B-arrive_date.date_relative
122,B-airport_name
123,B-airport_code
124,B-airline_name
125,B-airline_code
126,B-aircraft_code
