,slot
0,O
1,I-track
2,I-timeRange
3,I-state
4,I-spatial_relation
5,I-sort
6,I-service
7,I-served_dish
8,I-restaurant_type
9,I-restaurant_name
10,I-poi
11,I-playlist_owner
12,I-playlist
13,I-party_size_description
14,I-object_type
15,I-object_select
16,I-object_part_of_series_type
17,I-object_name
18,I-object_location_type
19,I-music_item
20,I-movie_type
21,I-movie_name
22,I-location_name
23,I-geographic_poi
24,I-genre
25,I-facility
26,I-entity_name
27,I-current_location
28,I-cuisine
29,I-country
30,I-city
31,I-artist
32,I-album
33,B-year
34,B-track
35,B-timeRange
36,B-state
37,B-spatial_relation
38,B-sort
39,B-service
40,B-served_dish
41,B-restaurant_type
42,B-restaurant_name
43,B-rating_value
44,B-rating_unit
45,B-poi
46,B-playlist_owner
47,B-playlist
48,B-party_size_number
49,B-party_size_description
50,B-object_type
51,B-object_select
52,B-object_part_of_series_type
53,B-object_name
54,B-object_location_type
55,B-music_item
56,B-movie_type
57,B-movie_name
58,B-location_name
59,B-geographic_poi
60,B-genre
61,B-facility
62,B-entity_name
63,B-current_location
64,B-cuisine
65,B-country
66,B-condition_temperature
67,B-condition_description
68,B-city
69,B-best_rating
70,B-artist
71,B-album
